ci95_high,ci95_low,group,mean_delta,metric,module_added,module_step,p_two_sided,paired_sample_count
-0.016882,-0.093078,pentatonic_conservative,-0.055457,duration_error_sec,prompt cleaning,A1 minus A0,0.006000,1500
0.015681,-0.006273,pentatonic_conservative,0.004893,psr,prompt cleaning,A1 minus A0,0.372000,1500
0.031866,-0.010949,pentatonic_conservative,0.010755,strong_beat_stable_rate,prompt cleaning,A1 minus A0,0.350000,1500
0.040801,-0.004972,pentatonic_conservative,0.016700,cadence_score,prompt cleaning,A1 minus A0,0.148000,1500
-0.033893,-0.068175,pentatonic_conservative,-0.050539,qualified_rhythm_rate,prompt cleaning,A1 minus A0,0.000000,1500
0.042802,0.031092,pentatonic_conservative,0.037003,objective_score,repetition suppression,A2 minus A1,0.000000,1500
-0.120265,-0.148517,pentatonic_conservative,-0.134702,cpr,repetition suppression,A2 minus A1,0.000000,1500
-1.941317,-2.669333,pentatonic_conservative,-2.298000,longest_repeat_run,repetition suppression,A2 minus A1,0.000000,1500
0.237429,0.198623,pentatonic_conservative,0.217336,repetition_score,repetition suppression,A2 minus A1,0.000000,1500
0.013960,0.002182,pentatonic_conservative,0.007818,duration_match_ratio,repetition suppression,A2 minus A1,0.004000,1500
-0.006811,-0.069166,pentatonic_conservative,-0.038513,duration_error_sec,repetition suppression,A2 minus A1,0.018000,1500
-0.032303,-0.054786,pentatonic_conservative,-0.043822,psr,repetition suppression,A2 minus A1,0.000000,1500
-0.033397,-0.069623,pentatonic_conservative,-0.051760,strong_beat_stable_rate,repetition suppression,A2 minus A1,0.000000,1500
-0.050424,-0.100136,pentatonic_conservative,-0.075367,cadence_score,repetition suppression,A2 minus A1,0.000000,1500
0.092594,0.061481,pentatonic_conservative,0.076858,qualified_rhythm_rate,repetition suppression,A2 minus A1,0.000000,1500
0.034654,0.026779,pentatonic_conservative,0.030694,objective_score,duration matching,A3 minus A2,0.000000,1500
0.018862,0.012737,pentatonic_conservative,0.015833,cpr,duration matching,A3 minus A2,0.000000,1500
0.020683,-0.016017,pentatonic_conservative,0.002000,longest_repeat_run,duration matching,A3 minus A2,0.858000,1500
-0.025156,-0.037327,pentatonic_conservative,-0.030998,repetition_score,duration matching,A3 minus A2,0.000000,1500
-0.008099,-0.021858,pentatonic_conservative,-0.014799,duration_match_ratio,duration matching,A3 minus A2,0.000000,1500
0.058623,-0.008641,pentatonic_conservative,0.025875,duration_error_sec,duration matching,A3 minus A2,0.160000,1500
0.006035,-0.002421,pentatonic_conservative,0.001858,psr,duration matching,A3 minus A2,0.388000,1500
0.034174,0.006083,pentatonic_conservative,0.019902,strong_beat_stable_rate,duration matching,A3 minus A2,0.002000,1500
0.027341,-0.019939,pentatonic_conservative,0.001700,cadence_score,duration matching,A3 minus A2,0.840000,1500
0.033453,-0.010528,pentatonic_conservative,0.011512,qualified_rhythm_rate,duration matching,A3 minus A2,0.316000,1500
0.000000,0.000000,pentatonic_conservative,0.000000,objective_score,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_conservative,0.000000,cpr,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_conservative,0.000000,longest_repeat_run,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_conservative,0.000000,repetition_score,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_conservative,0.000000,duration_match_ratio,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_conservative,0.000000,duration_error_sec,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_conservative,0.000000,psr,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_conservative,0.000000,strong_beat_stable_rate,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_conservative,0.000000,cadence_score,motif fallback,A4 minus A3,1.000000,1500
0.000000,0.000000,pentatonic_conservative,0.000000,qualified_rhythm_rate,motif fallback,A4 minus A3,1.000000,1500
0.069358,0.059435,pentatonic_conservative,0.064462,objective_score,style constraint,A5 minus A4,0.000000,1500
0.097054,0.083767,pentatonic_conservative,0.090546,cpr,style constraint,A5 minus A4,0.000000,1500
0.454000,0.383317,pentatonic_conservative,0.418667,longest_repeat_run,style constraint,A5 minus A4,0.000000,1500
-0.179064,-0.207351,pentatonic_conservative,-0.193105,repetition_score,style constraint,A5 minus A4,0.000000,1500
0.016678,0.010852,pentatonic_conservative,0.013929,duration_match_ratio,style constraint,A5 minus A4,0.000000,1500
-0.093205,-0.132098,pentatonic_conservative,-0.111114,duration_error_sec,style constraint,A5 minus A4,0.000000,1500
0.464507,0.437043,pentatonic_conservative,0.450177,psr,style constraint,A5 minus A4,0.000000,1500
0.314031,0.268329,pentatonic_conservative,0.291545,strong_beat_stable_rate,style constraint,A5 minus A4,0.000000,1500
0.358533,0.318267,pentatonic_conservative,0.338067,cadence_score,style constraint,A5 minus A4,0.000000,1500
0.031908,0.020967,pentatonic_conservative,0.026572,qualified_rhythm_rate,style constraint,A5 minus A4,0.000000,1500
0.033577,0.026669,pentatonic_conservative,0.030012,objective_score,full controlled,A6 minus A5,0.000000,1500
0.018312,0.007427,pentatonic_conservative,0.013096,cpr,full controlled,A6 minus A5,0.000000,1500
0.180667,0.121983,pentatonic_conservative,0.152000,longest_repeat_run,full controlled,A6 minus A5,0.000000,1500
-0.020640,-0.043126,pentatonic_conservative,-0.031838,repetition_score,full controlled,A6 minus A5,0.000000,1500
0.101055,0.086744,pentatonic_conservative,0.094075,duration_match_ratio,full controlled,A6 minus A5,0.000000,1500
-0.411826,-0.475928,pentatonic_conservative,-0.443644,duration_error_sec,full controlled,A6 minus A5,0.000000,1500
0.000000,0.000000,pentatonic_conservative,0.000000,psr,full controlled,A6 minus A5,1.000000,1500
0.046319,0.024813,pentatonic_conservative,0.035551,strong_beat_stable_rate,full controlled,A6 minus A5,0.000000,1500
0.275267,0.253200,pentatonic_conservative,0.264067,cadence_score,full controlled,A6 minus A5,0.000000,1500
0.027633,0.020012,pentatonic_conservative,0.023872,qualified_rhythm_rate,full controlled,A6 minus A5,0.000000,1500
0.021711,0.009744,pentatonic_creative,0.015918,objective_score,prompt cleaning,A1 minus A0,0.000000,1500
-0.011067,-0.033382,pentatonic_creative,-0.021690,cpr,prompt cleaning,A1 minus A0,0.002000,1500
-0.082650,-0.584133,pentatonic_creative,-0.342667,longest_repeat_run,prompt cleaning,A1 minus A0,0.014000,1500
0.081390,0.038013,pentatonic_creative,0.060127,repetition_score,prompt cleaning,A1 minus A0,0.000000,1500
0.002907,-0.011161,pentatonic_creative,-0.004339,duration_match_ratio,prompt cleaning,A1 minus A0,0.220000,1500
0.110058,-0.023949,pentatonic_creative,0.043982,duration_error_sec,prompt cleaning,A1 minus A0,0.208000,1500
0.016900,-0.005230,pentatonic_creative,0.006041,psr,prompt cleaning,A1 minus A0,0.264000,1500
0.047448,0.004718,pentatonic_creative,0.027011,strong_beat_stable_rate,prompt cleaning,A1 minus A0,0.016000,1500
0.036243,-0.012805,pentatonic_creative,0.013867,cadence_score,prompt cleaning,A1 minus A0,0.288000,1500
-0.027597,-0.057586,pentatonic_creative,-0.042890,qualified_rhythm_rate,prompt cleaning,A1 minus A0,0.000000,1500
0.039734,0.027134,pentatonic_creative,0.033824,objective_score,repetition suppression,A2 minus A1,0.000000,1500
-0.056496,-0.073486,pentatonic_creative,-0.064833,cpr,repetition suppression,A2 minus A1,0.000000,1500
-0.708600,-1.042017,pentatonic_creative,-0.873333,longest_repeat_run,repetition suppression,A2 minus A1,0.000000,1500
0.164086,0.130584,pentatonic_creative,0.146945,repetition_score,repetition suppression,A2 minus A1,0.000000,1500
